
Testing resnet lr=0.0001, beta1=0.5
  Epoch 1/20: G_loss=10.5400, F_loss=10.5444, Patience=0/5
  Epoch 2/20: G_loss=8.9865, F_loss=8.9466, Patience=0/5
  Epoch 3/20: G_loss=8.6615, F_loss=8.5987, Patience=0/5
  Epoch 4/20: G_loss=8.2346, F_loss=8.1710, Patience=0/5
  Epoch 5/20: G_loss=7.6548, F_loss=7.6019, Patience=0/5
  Epoch 6/20: G_loss=7.4661, F_loss=7.4267, Patience=0/5
  Epoch 7/20: G_loss=7.2330, F_loss=7.2068, Patience=0/5
  Epoch 8/20: G_loss=7.0595, F_loss=7.0285, Patience=0/5
  Epoch 9/20: G_loss=7.0467, F_loss=7.0356, Patience=1/5
  Epoch 10/20: G_loss=6.9689, F_loss=6.9644, Patience=0/5
  Epoch 11/20: G_loss=6.9066, F_loss=6.8950, Patience=0/5
  Epoch 12/20: G_loss=6.6869, F_loss=6.6905, Patience=0/5
  Epoch 13/20: G_loss=6.6061, F_loss=6.5596, Patience=0/5
  Epoch 14/20: G_loss=6.5243, F_loss=6.4765, Patience=0/5
  Epoch 15/20: G_loss=6.5106, F_loss=6.4471, Patience=0/5
  Epoch 16/20: G_loss=6.3154, F_loss=6.2449, Patience=0/5
  Epoch 17/20: G_loss=6.2750, F_loss=6.2002, Patience=0/5
  Epoch 18/20: G_loss=6.3336, F_loss=6.2178, Patience=1/5
  Epoch 19/20: G_loss=6.2645, F_loss=6.1431, Patience=0/5
  Epoch 20/20: G_loss=6.3035, F_loss=6.0756, Patience=0/5

Testing unet lr=0.0001, beta1=0.5
  Epoch 1/20: G_loss=5.7392, F_loss=5.7310, Patience=0/5
  Epoch 2/20: G_loss=4.0421, F_loss=4.0158, Patience=0/5
  Epoch 3/20: G_loss=3.6474, F_loss=3.6441, Patience=0/5
  Epoch 4/20: G_loss=3.3948, F_loss=3.3970, Patience=0/5
  Epoch 5/20: G_loss=3.1274, F_loss=3.1271, Patience=0/5
  Epoch 6/20: G_loss=2.9327, F_loss=2.9364, Patience=0/5
  Epoch 7/20: G_loss=2.8721, F_loss=2.9020, Patience=0/5
  Epoch 8/20: G_loss=2.8000, F_loss=2.8784, Patience=0/5
  Epoch 9/20: G_loss=2.6637, F_loss=2.7314, Patience=0/5
  Epoch 10/20: G_loss=2.5712, F_loss=2.6471, Patience=0/5
  Epoch 11/20: G_loss=2.4865, F_loss=2.5550, Patience=0/5
  Epoch 12/20: G_loss=2.4305, F_loss=2.5270, Patience=0/5
  Epoch 13/20: G_loss=2.4302, F_loss=2.5224, Patience=1/5
  Epoch 14/20: G_loss=2.4187, F_loss=2.4928, Patience=0/5
  Epoch 15/20: G_loss=2.3927, F_loss=2.4818, Patience=0/5
  Epoch 16/20: G_loss=2.3924, F_loss=2.5002, Patience=1/5
  Epoch 17/20: G_loss=2.3688, F_loss=2.4227, Patience=0/5
  Epoch 18/20: G_loss=2.2909, F_loss=2.4149, Patience=0/5
  Epoch 19/20: G_loss=2.3390, F_loss=2.4431, Patience=1/5
  Epoch 20/20: G_loss=2.4160, F_loss=2.5059, Patience=2/5

Testing resnet lr=0.0001, beta1=0.9
  Epoch 1/20: G_loss=10.3186, F_loss=10.3554, Patience=0/5
  Epoch 2/20: G_loss=9.3459, F_loss=9.3674, Patience=0/5
  Epoch 3/20: G_loss=8.4577, F_loss=8.4074, Patience=0/5
  Epoch 4/20: G_loss=8.2292, F_loss=8.1888, Patience=0/5
  Epoch 5/20: G_loss=7.8428, F_loss=7.8227, Patience=0/5
  Epoch 6/20: G_loss=7.5419, F_loss=7.5205, Patience=0/5
  Epoch 7/20: G_loss=7.4084, F_loss=7.3966, Patience=0/5
  Epoch 8/20: G_loss=7.4540, F_loss=7.4502, Patience=1/5
  Epoch 9/20: G_loss=7.3979, F_loss=7.4087, Patience=2/5
